168, 1663495635296, SCROLL, geeknarrator.com/page85
166, 1663495633571, SCROLL, geeknarrator.com/page74
330, 1663495630422, CLICK, geeknarrator.com/page97
105, 1663495632026, CLICK, geeknarrator.com/page10
793, 1663495631549, SCROLL, geeknarrator.com/page82
851, 1663495637220, CLICK, geeknarrator.com/page62
632, 1663495631447, ENTER, geeknarrator.com/page99
263, 1663495631957, ENTER, geeknarrator.com/page9
513, 1663495635736, CLICK, geeknarrator.com/page5
473, 1663495630676, CLICK, geeknarrator.com/page43
707, 1663495630185, LEAVE, geeknarrator.com/page42
496, 1663495631033, SCROLL, geeknarrator.com/page58
195, 1663495636419, ENTER, geeknarrator.com/page56
179, 1663495629980, SCROLL, geeknarrator.com/page28
286, 1663495637631, LEAVE, geeknarrator.com/page85
574, 1663495638076, CLICK, geeknarrator.com/page91
858, 1663495638332, CLICK, geeknarrator.com/page18
580, 1663495634757, ENTER, geeknarrator.com/page32
626, 1663495638312, CLICK, geeknarrator.com/page75
244, 1663495631736, SCROLL, geeknarrator.com/page28
497, 1663495630261, CLICK, geeknarrator.com/page24
37, 1663495631046, LEAVE, geeknarrator.com/page33
147, 1663495631382, LEAVE, geeknarrator.com/page18
123, 1663495633621, LEAVE, geeknarrator.com/page97
113, 1663495637647, SCROLL, geeknarrator.com/page82
618, 1663495636633, ENTER, geeknarrator.com/page41
875, 1663495635591, CLICK, geeknarrator.com/page81
671, 1663495632891, LEAVE, geeknarrator.com/page47
949, 1663495635897, CLICK, geeknarrator.com/page22
156, 1663495637157, SCROLL, geeknarrator.com/page44
404, 1663495631214, SCROLL, geeknarrator.com/page31
971, 1663495634980, CLICK, geeknarrator.com/page87
712, 1663495631156, CLICK, geeknarrator.com/page47
711, 1663495631012, SCROLL, geeknarrator.com/page47
146, 1663495637722, ENTER, geeknarrator.com/page20
376, 1663495634375, LEAVE, geeknarrator.com/page76
660, 1663495630785, SCROLL, geeknarrator.com/page38
893, 1663495638670, LEAVE, geeknarrator.com/page6
253, 1663495629276, ENTER, geeknarrator.com/page2
721, 1663495635149, SCROLL, geeknarrator.com/page40
4, 1663495629424, LEAVE, geeknarrator.com/page87
592, 1663495635323, ENTER, geeknarrator.com/page82
242, 1663495631236, CLICK, geeknarrator.com/page80
497, 1663495635455, CLICK, geeknarrator.com/page51
370, 1663495634721, CLICK, geeknarrator.com/page20
891, 1663495634996, ENTER, geeknarrator.com/page99
394, 1663495633587, SCROLL, geeknarrator.com/page88
73, 1663495637029, ENTER, geeknarrator.com/page9
769, 1663495631366, SCROLL, geeknarrator.com/page32
184, 1663495631681, SCROLL, geeknarrator.com/page73
905, 1663495633610, CLICK, geeknarrator.com/page90
182, 1663495629511, ENTER, geeknarrator.com/page63
828, 1663495638255, LEAVE, geeknarrator.com/page36
978, 1663495635595, LEAVE, geeknarrator.com/page18
631, 1663495628905, ENTER, geeknarrator.com/page13
704, 1663495634207, ENTER, geeknarrator.com/page65
603, 1663495633980, LEAVE, geeknarrator.com/page17
964, 1663495634378, CLICK, geeknarrator.com/page81
521, 1663495638704, CLICK, geeknarrator.com/page44
403, 1663495635396, ENTER, geeknarrator.com/page84
628, 1663495638110, ENTER, geeknarrator.com/page14
935, 1663495638599, LEAVE, geeknarrator.com/page79
920, 1663495632880, SCROLL, geeknarrator.com/page90
889, 1663495636463, SCROLL, geeknarrator.com/page73
790, 1663495628916, ENTER, geeknarrator.com/page61
767, 1663495629434, SCROLL, geeknarrator.com/page5
383, 1663495631802, LEAVE, geeknarrator.com/page19
725, 1663495637129, CLICK, geeknarrator.com/page19
878, 1663495634145, LEAVE, geeknarrator.com/page70
717, 1663495631341, CLICK, geeknarrator.com/page23
409, 1663495637453, SCROLL, geeknarrator.com/page45
697, 1663495636410, CLICK, geeknarrator.com/page12
686, 1663495636227, SCROLL, geeknarrator.com/page66
429, 1663495636150, CLICK, geeknarrator.com/page74
200, 1663495636331, ENTER, geeknarrator.com/page32
312, 1663495635642, LEAVE, geeknarrator.com/page52
864, 1663495631565, ENTER, geeknarrator.com/page85
921, 1663495637440, LEAVE, geeknarrator.com/page6
814, 1663495637172, ENTER, geeknarrator.com/page91
443, 1663495638147, SCROLL, geeknarrator.com/page3
591, 1663495629549, LEAVE, geeknarrator.com/page11
339, 1663495631665, SCROLL, geeknarrator.com/page59
558, 1663495636664, ENTER, geeknarrator.com/page13
942, 1663495632508, SCROLL, geeknarrator.com/page58
181, 1663495634662, ENTER, geeknarrator.com/page13
54, 1663495637812, ENTER, geeknarrator.com/page95
306, 1663495637336, ENTER, geeknarrator.com/page41
196, 1663495635166, CLICK, geeknarrator.com/page93
245, 1663495629270, SCROLL, geeknarrator.com/page96
4, 1663495636447, ENTER, geeknarrator.com/page37
926, 1663495634229, SCROLL, geeknarrator.com/page23
